,,,,,,,,,,,,
,,,,,,,,,,,,
,SEA,,,,,,,,,,,
,,,,,,,,,,,,
,Indonesia,,Malaysia,,Brunei,,Singapore,,Thailand,,Vietnam,
,Member,Flairs,Member,Flairs,Member,Flairs,Member,Flairs,Member,Flairs,Member,Flairs
,140.874,Politics,269.721,Hari Raya 2022 ITAP Event,43.121,LOCAL NEWS,528.285,"Photos, Videos",132.988,Banking and Finance,189.03,History/Lịch sử
,,Serious Discussion,,Food,,SERIOUS DISCUSSION,,News,,Business,,Culture/Văn hóa
,,Meta,,Tourism & Travel,,CASUAL TALK,,Opinion / Fluff Post,,Culture,,Travel/Du lịch
,,COVID-19,,ITAP,,COVID,,Politics,,Discussion,,Food/Ẩm thực
,,News,,Entertainment,,REGIONAL,,Unverified,,Education,,Daily life/Đời thường
,,Entertainment,,Culture,,INFORMATION,,Discussion,,Employment,,Discussion/Thảo luận
,,Casual Discussion,,Economy & Finance,,HISTORY,,Serious Discussion,,Food and Drink,,News/Tin tức
,,Travel,,Science/ Technology,,ECONOMY,,I Made This,,Gaming,,Politics
,,Opinion,,COVID-19,,MEDIA,,Satire/Parody,,Health,,Meme
,,Language/Literature,,Environment,,MEME,,Meme,,History,,Art & Creativity
,,Science/Technology,,Education,,,,,,Internet,,
,,History,,History,,,,,,Language,,
,,Throwback,,Politics,,,,,,Miscellanous,,
,,Art,,Sports,,,,,,Memes,,
,,Culture,,Religion,,,,,,Movies and Music,,
,,Funny,,Meme Monday,,,,,,News,,
,,Meme,,Throwback Thursday,,,,,,Opinion,,
,,Infographics,,Mildly interesting,,,,,,Pics,,
,,Educational,,Language,,,,,,Politics,,
,,Religion,,Satire,,,,,,PSA,,
,,Question,,Extending census collection,,,,,,Question/Help,,
,,Tips,,CNY 2022 ITAP Event,,,,,,Relationships,,
,,Sports,,,,,,,,Religion,,
,,Social Media,,,,,,,,Shopping,,
,,,,,,,,,,Sports,,
,,,,,,,,,,Videos,,
,,,,,,,,,,Visas/Documents,,
,,,,,,,,,,What's This Thing?,,
,,,,,,,,,,WTF,,
,,,,,,,,,,5555555,,
,,,,,,,,,,ภาษาไทย,,
,,,,,,,,,,Old News,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,SA,,,,,,,,,,,
,,,,,,,,,,,,
,India,,Pakistan,,Bangladesh,,Nepal,,,,,
,Member,Flairs,Member,Flairs,Member,Flairs,Member,Flairs,,,,
,862.907,AskIndia,153.244,Political,40.677,Discussion/আলোচনা,113.281,Help/सहयोग,,,,
,,Rant / Vent,,National,,AskDesh/দেশ কে জিজ্ঞাসা,,Education/शिक्षा,,,,
,,Crime,,Financial,,Non-Political/রাজনীতি ছাড়া,,Politics/राजनीति,,,,
,,Law & Courts,,Geopolitical,,Entertainment/বিনোদন,,History/इतिहास,,,,
,,Politics,,Sounds,,Economy/অর্থনীতি,,Movies/चलचित्र,,,,
,,Foreign Relations,,Sights,,Politics/রাজনীতি,,Music/सङ्गीत,,,,
,,Art/Photo (OC),,Ask Pakistan,,Photography/Art,,Video/भिडियो,,,,
,,Memes/Satire (OC),,Discussion,,Education/শিক্ষা,,Food/खानेकुरा,,,,
,,Culture & Heritage,,Humour,,Policy/কর্মপন্থা,,Picture/तस्वीर,,,,
,,History,,Historical,,Rant/বকবক,,Travel/यात्रा,,,,
,,Business/Finance,,Cultural,,Health/স্বাস্থ্য,,Technology/प्रविधि,,,,
,,Policy/Economy,,Sports,,Science & Technology/বিজ্ঞান ও প্রযুক্তি,,Science/विज्ञान,,,,
,,Health/Environment,,Health,,Sports/খেলাধুলা,,Society/समाज,,,,
,,Science/Technology,,Arts,,History/ইতিহাস,,Sports/खेलकुद,,,,
,,Sports,,Social,,Law/আইন,,Language/भाषा,,,,
,,Food,,Research,,HERstory,,Literature/साहित्य,,,,
,,Immigration,,Kashmir,,,,Art/कला,,,,
,,Coronavirus,,[Long Post],,,,News/समाचार,,,,
,,Non Political,,Covid-19,,,,Humor/हाँस्य,,,,
,,,,Education,,,,Relationship/सम्बन्ध,,,,
,,,,,,,,Rant/गुनासो,,,,
,,,,,,,,Discussion/बहस,,,,
,,,,,,,,Question/प्रश्न,,,,
,,,,,,,,Promotion/प्रवर्धन,,,,
,,,,,,,,Misleading,,,,
,,,,,,,,Covid-19,,,,
,,,,,,,,AMA THREAD,,,,
,,,,,,,,,,,,
,EA,,,,,,,,,,,
,,,,,,,,,,,,
,Taiwan,,China,,Korea,,,,,,,
,Member,Flairs,Member,Flairs,Member,Flairs,,,,,,
,169.425,Activism,395.625,文化 | Culture,277.477,문화 | Culture,,,,,,
,,Blog,,中国生活 | Life in China,,생활 | Daily Life,,,,,,
,,Discussion,,语言 | Language,,경제 | Economy,,,,,,
,,Entertainment,,历史 | History,,정치 | Politics,,,,,,
,,Environment,,旅游 | Travel,,자연 | Nature,,,,,,
,,Events,,搞笑 | Comedy,,역사 | History,,,,,,
,,History,,火 | Viral China/Offbeat,,레저와 취미 | Leisure & Hobby,,,,,,
,,Image,,故事 | Storytime,,이민 | Immigration,,,,,,
,,Interesting,,冠状病毒 | Coronavirus,,건강 | Health,,,,,,
,,Legal,,台湾 | Taiwan ,,개인 | Personal,,,,,,
,,MEME,,香港 | Hong Kong,,유머 | Humor,,,,,,
,,Meetup,,维吾尔族 | Uighurs,,범죄 | Crime,,,,,,
,,News,,藏族 | Tibetans,,부고 | Obituary,,,,,,
,,Off Topic,,中南海 | South China Sea,,Removed: Post in we,,,,,,
,,Politics,,新闻 | News,,,,,,,,
,,Technology,,政治 | Politics,,,,,,,,
,,Travel,,国际关系 | Intl Relations,,,,,,,,
,,Video,,经济 | Economy,,,,,,,,
,,,,科技 | Tech,,,,,,,,
,,,,法律 | Law,,,,,,,,
,,,,环境保护 | Environmentalism,,,,,,,,
,,,,人情味 | Human Interest Story,,,,,,,,
,,,,观点文章 | Opinion Piece,,,,,,,,
,,,,球赛 | Sports,,,,,,,,
,,,,军事 | Military,,,,,,,,
,,,,翻译 | Translation,,,,,,,,
,,,,NSFL/NSFW/Do not open in public,,,,,,,,
,,,,讨论 | Discussion (Serious) - Character Minimums Apply,,,,,,,,
,,,,咨询 | Seeking Advice (Serious),,,,,,,,
,,,,问题 | General Question (Seriou,,,,,,,,
